id,type,src,dst,app,latency,message,ctime,size,buffer
11122,LINK,29,65,16,5.0000338871466665,16_(88-89),16021.545288364321,2541536,5
9946,LINK,0,54,2,5.0000529769333335,2_(10-11),16023.320052976951,3973270,5
11199,LINK,61,37,18,5.000054029666667,18_(96-97),16026.892561983472,4052225,1
11199,LINK,61,37,18,5.000042393986667,18_(96-98),16026.892561983472,3179549,2
11199,LINK,37,0,18,5.000054029666667,18_(96-97),16031.892616013138,4052225,1
10663,LINK,71,2,7,5.000056191933333,7_(35-41),16034.40732265442,4214395,2
10663,LINK,71,3,7,5.0000367192,7_(35-36),16034.40732265442,2753940,3
2914,LINK,27,67,13,5.000048089213333,13_(69-73),16034.891161783104,3606691,4
2914,LINK,27,67,13,5.000039744053334,13_(69-70),16034.891161783104,2980804,5
11137,LINK,7,17,3,5.000057133226667,3_(12-13),16035.827316306399,4284992,6
11137,LINK,7,17,3,5.000034690933333,3_(12-14),16035.827316306399,2601820,7
11137,LINK,7,17,3,5.000038559786667,3_(12-15),16035.827316306399,2891984,8
11137,LINK,7,17,3,5.000022498733333,3_(12-16),16035.827316306399,1687405,9
11137,LINK,7,17,3,5.00003735084,3_(12-20),16035.827316306399,2801313,10
11199,LINK,37,0,18,5.000042393986667,18_(96-98),16036.892658407125,3179549,10
11199,LINK,0,40,18,5.000054029666667,18_(96-97),16036.892670042804,4052225,10
11174,LINK,67,27,13,5.000032906533334,13_(68-69),16037.277372262773,2467990,11
11170,LINK,33,1,13,5.000032906533334,13_(68-69),16038.562693726552,2467990,12
10663,LINK,2,0,7,5.000056191933333,7_(35-41),16039.407378846354,4214395,11
10041,LINK,2,57,11,5.000026070133333,11_(60-61),16040.858259965798,1955260,10
10041,LINK,2,59,11,5.00002505032,11_(60-62),16040.858259965798,1878774,11
11189,LINK,29,2,15,5.00005192936,15_(81-82),16041.278731706367,3894702,12
11189,LINK,29,2,15,5.000058252146666,15_(81-85),16041.278731706367,4368911,13
11199,LINK,0,40,18,5.000042393986667,18_(96-98),16041.892712436791,3179549,13
11170,LINK,1,25,13,5.000032906533334,13_(68-69),16043.562726633085,2467990,11
11197,LINK,19,21,17,5.000034830733333,17_(92-93),16046.241151293258,2612305,7
11189,LINK,2,11,15,5.00005192936,15_(81-82),16046.278783635727,3894702,7
11121,LINK,37,61,16,5.0000338871466665,16_(88-89),16048.538179191366,2541536,7
11170,LINK,25,27,13,5.000032906533334,13_(68-69),16048.562759539618,2467990,7
11191,LINK,61,37,16,5.0000242222,16_(87-88),16048.710743801654,1816665,8
11189,LINK,2,11,15,5.000058252146666,15_(81-85),16051.278841887874,4368911,5
11176,LINK,52,30,14,5.000029359893333,14_(76-79),16059.688153310104,2201992,1
11194,LINK,98,2,16,5.0000242222,16_(87-88),16061.71727748691,1816665,1
11173,LINK,33,1,13,5.000032906533334,13_(68-69),16067.125333547581,2467990,0
6864,LINK,26,18,1,5.000036158733334,1_(3-9),16068.221420001546,2711905,1
6864,LINK,26,85,1,5.0000343908,1_(3-4),16068.221420001546,2579310,2
6864,LINK,26,85,1,5.00003339936,1_(3-7),16068.221420001546,2504952,3
11192,LINK,65,29,16,5.0000242222,16_(87-88),16068.336231884057,1816665,4
2680,LINK,3,0,7,5.000056191933333,7_(35-41),16069.20928633524,4214395,5
2680,LINK,3,10,7,5.00002029168,7_(35-37),16069.20928633524,1521876,6
11173,LINK,1,25,13,5.000032906533334,13_(68-69),16072.125366454115,2467990,6
6864,LINK,18,76,1,5.000036158733334,1_(3-9),16073.22145616028,2711905,5
11133,LINK,74,15,1,5.000036158733334,1_(3-9),16074.120455023582,2711905,5
