id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
724,COMP_M,7,7_36,7_(35-36),105,106,35,22,7_35,83.87055837563452,4712.273478624164,4796.144036999799,2774.4646813331087,2789.4648109634422
2101,COMP_M,0,0_2,0_(0-2),70,72,19,28,0_0,150.46978021978023,4712.356896051453,4862.826676271234,3174.892175121415,3194.892279549015
255,COMP_M,13,13_74,13_(73-74),143,144,89,84,13_73,93.8108108108108,4713.993387777599,4807.80419858841,4693.993279869971,4713.993387777599
1558,COMP_M,6,6_30,6_(29-30),102,103,90,40,6_29,40.76236044657097,4714.608045518027,4755.370405964598,3977.2604769400573,3982.425992721727
888,COMP_M,14,14_76,M.USER.APP.14,47,147,77,2,None,42.24537607891492,4714.7460907949235,4756.991466873838,1300.0,1310.0001170122132
3247,COMP_M,9,9_48,M.USER.APP.9,26,118,16,4,None,93.42229199372056,4715.0000794114,4808.42237140512,4700.0,4715.0000794114
3227,COMP_M,3,3_12,M.USER.APP.3,6,82,38,41,None,44.904862579281186,4715.000091154321,4759.904953733602,4700.0,4715.000091154321
716,COMP_M,6,6_34,6_(30-34),103,101,40,1,6_30,90.36470588235294,4718.2214406396515,4808.586146522004,2228.104058277193,2238.104168850553
722,COMP_M,7,7_39,7_(38-39),108,109,44,52,7_38,67.59233449477352,4719.484444398566,4787.076778893339,4699.484269212287,4719.484444398566
1284,COMP_M,7,7_41,7_(35-41),105,111,35,9,7_35,33.84034653465346,4719.9844681485765,4753.82481468323,4704.984299572777,4719.9844681485765
3285,COMP_M,17,17_92,M.USER.APP.17,64,162,62,97,None,26.586734693877553,4720.000171185813,4746.586905879691,4700.0,4720.000171185813
2339,COMP_M,10,10_52,M.USER.APP.10,28,122,71,90,None,68.61474435196195,4722.18805179907,4790.802796151032,3400.0,3440.1396768248014
